Hora_PC,Temperatura,Humedad,Presion,Altitud,Lluvia
2025-03-24 15:27:35,32.65,38.68,84.63,16690.72,1
2025-03-24 15:28:33,32.88,38.05,84.64,16690.45,1
2025-03-24 15:29:33,32.87,38.52,84.64,16690.55,1
2025-03-24 15:30:33,32.58,38.16,84.63,16691.00,1
2025-03-24 15:31:33,32.41,37.84,84.64,16690.54,1
2025-03-24 15:32:33,31.93,38.16,84.63,16690.70,1
2025-03-24 15:33:33,32.20,37.88,84.63,16690.82,1
2025-03-24 15:34:34,32.78,37.55,84.63,16690.70,1
2025-03-24 15:35:34,32.95,37.78,84.64,16690.30,1
2025-03-24 15:36:34,32.62,37.28,84.63,16690.78,1
2025-03-24 15:37:34,32.35,38.56,84.64,16690.39,1
2025-03-24 15:38:34,32.41,38.30,84.64,16690.59,1
2025-03-24 15:39:34,32.38,38.29,84.64,16690.45,1
2025-03-24 15:40:34,32.38,38.71,84.63,16690.68,1
2025-03-24 15:41:34,32.39,38.55,84.63,16690.69,1
2025-03-24 15:42:34,32.42,39.21,84.63,16690.85,1
2025-03-24 15:43:34,32.54,38.54,84.63,16690.76,1
2025-03-24 15:44:34,32.38,39.03,84.63,16690.87,1
2025-03-24 15:45:35,32.32,39.30,84.63,16690.90,1
2025-03-24 15:46:35,32.58,38.37,84.62,16691.41,1
2025-03-24 15:47:35,32.70,38.08,84.63,16691.20,1
2025-03-24 15:48:35,32.54,38.50,84.63,16691.19,1
2025-03-24 15:49:35,32.52,38.50,84.62,16691.34,1
2025-03-24 15:50:35,32.38,38.63,84.63,16691.16,1
2025-03-24 15:51:35,32.34,38.39,84.62,16691.35,1
2025-03-24 15:52:35,32.15,38.92,84.63,16690.92,1
2025-03-24 15:53:35,32.31,38.26,84.63,16691.21,1
2025-03-24 15:54:35,32.43,38.04,84.62,16691.46,1
2025-03-24 15:55:35,32.73,37.11,84.63,16691.04,1
2025-03-24 15:56:35,32.95,36.82,84.62,16691.41,1
2025-03-24 15:57:36,32.92,38.13,84.63,16691.08,1
2025-03-24 15:58:36,32.77,36.34,84.63,16690.96,1
2025-03-24 15:59:36,32.57,36.41,84.64,16690.62,1
2025-03-24 16:00:36,32.57,36.75,84.63,16691.10,1
2025-03-24 16:01:36,32.53,36.54,84.63,16691.16,1
2025-03-24 16:02:36,32.58,36.51,84.63,16690.92,1
2025-03-24 16:03:36,32.53,37.74,84.63,16690.90,1
2025-03-24 16:04:36,32.53,37.17,84.64,16690.50,1
2025-03-24 16:05:36,32.72,36.16,84.64,16690.59,1
2025-03-24 16:06:36,32.60,36.01,84.64,16690.57,1
2025-03-24 16:07:36,32.57,37.06,84.64,16690.61,1
2025-03-24 16:08:36,32.66,36.96,84.64,16690.33,1
2025-03-24 16:09:37,32.47,37.76,84.64,16690.24,1
2025-03-24 16:10:37,32.49,37.84,84.64,16690.07,1
2025-03-24 16:11:37,32.47,38.04,84.64,16690.37,1
2025-03-24 16:12:37,32.39,37.91,84.64,16690.23,1
2025-03-24 16:13:37,32.39,38.36,84.64,16690.40,1
2025-03-24 16:14:37,32.47,37.71,84.64,16690.32,1
2025-03-24 16:15:37,32.04,38.05,84.64,16690.44,1
2025-03-24 16:16:37,31.94,38.44,84.64,16690.39,1
2025-03-24 16:17:37,32.30,38.30,84.65,16689.92,1
2025-03-24 16:18:37,32.13,37.73,84.64,16690.08,1
2025-03-24 16:19:37,31.97,37.97,84.64,16690.25,1
2025-03-24 16:20:38,32.13,37.96,84.65,16689.86,1
2025-03-24 16:21:38,31.93,38.55,84.65,16689.83,1
2025-03-24 16:22:38,31.67,38.01,84.65,16690.00,1
2025-03-24 16:23:38,31.89,38.88,84.65,16689.89,1
2025-03-24 16:24:38,31.74,40.86,84.65,16689.68,1
2025-03-24 16:25:38,31.54,39.61,84.65,16689.47,1
2025-03-24 16:26:38,31.53,39.42,84.64,16690.04,1
2025-03-24 16:27:38,31.61,39.34,84.65,16689.78,1
2025-03-24 16:28:38,31.53,39.59,84.65,16689.82,1
2025-03-24 16:29:38,31.54,39.75,84.65,16689.52,1
2025-03-24 16:30:38,31.42,40.00,84.65,16689.69,1
2025-03-24 16:31:39,31.35,39.38,84.65,16689.47,1
2025-03-24 16:32:39,31.54,38.71,84.65,16689.60,1
2025-03-24 16:33:39,31.49,40.53,84.65,16689.48,1
2025-03-24 16:34:39,31.75,39.18,84.66,16689.38,1
2025-03-24 16:35:39,31.48,40.22,84.65,16689.67,1
2025-03-24 16:56:21,31.50,39.40,84.65,16689.68,1
2025-03-24 16:57:17,30.60,42.02,84.65,16689.55,1
2025-03-24 16:58:17,30.62,40.90,84.66,16689.09,1
2025-03-24 16:59:17,30.54,42.18,84.66,16689.00,1
2025-03-24 17:00:17,30.56,40.92,84.66,16689.21,1
2025-03-24 17:01:17,30.65,42.07,84.66,16689.16,1
2025-03-24 17:02:17,30.76,41.57,84.66,16688.85,1
2025-03-24 17:03:17,30.77,41.92,84.67,16688.72,1
2025-03-24 17:04:17,30.70,42.23,84.67,16688.67,1
2025-03-24 17:05:17,30.63,42.05,84.66,16688.90,1
2025-03-24 17:06:17,30.67,42.22,84.67,16688.72,1
2025-03-24 17:07:17,30.86,42.32,84.66,16688.85,1
2025-03-24 17:08:18,30.74,42.61,84.67,16688.50,1
2025-03-24 17:09:18,30.45,43.00,84.67,16688.41,1
2025-03-24 17:10:18,30.32,43.09,84.67,16688.16,1
2025-03-24 17:11:18,30.25,43.55,84.67,16688.53,1
2025-03-24 17:12:18,30.29,43.49,84.68,16688.14,1
2025-03-24 17:13:18,30.39,43.98,84.68,16688.06,1
2025-03-24 17:14:18,30.60,42.70,84.68,16687.98,1
2025-03-24 17:15:18,30.22,43.96,84.68,16687.85,1
2025-03-24 17:16:18,30.24,43.95,84.68,16687.90,1
2025-03-24 17:17:18,30.41,43.32,84.68,16687.68,1
2025-03-24 17:18:18,30.25,44.54,84.68,16687.59,1
2025-03-24 17:19:18,30.14,44.35,84.69,16687.40,1
2025-03-24 17:20:19,30.33,44.78,84.68,16687.76,1
2025-03-24 17:21:19,30.51,44.30,84.69,16687.52,1
2025-03-24 17:22:19,30.50,44.68,84.69,16687.42,1
2025-03-24 17:23:19,30.55,44.20,84.69,16687.33,1
2025-03-24 17:24:19,30.58,44.19,84.69,16687.30,1
2025-03-24 17:25:19,31.01,44.22,84.69,16687.20,1
2025-03-24 17:26:19,31.00,44.00,84.69,16687.09,1
2025-03-24 20:26:45,30.85,44.07,84.70,16686.81,1
2025-03-24 22:32:04,25.57,63.02,85.05,16665.00,1
2025-03-24 22:33:02,25.50,62.88,85.05,16664.91,1
2025-03-24 22:34:02,25.38,62.74,85.04,16665.27,1
2025-03-24 22:35:02,25.45,62.73,85.05,16665.12,1
2025-03-24 22:36:02,25.46,61.68,85.05,16665.04,1
2025-03-24 22:37:02,25.39,62.57,85.05,16664.96,1
2025-03-24 22:38:02,25.43,62.30,85.05,16664.90,1
2025-03-24 22:39:02,25.45,61.87,85.05,16665.13,1
2025-03-24 22:40:02,25.55,61.93,85.05,16665.05,1
2025-03-24 22:41:02,25.63,61.51,85.05,16665.11,1
2025-03-24 22:42:03,25.59,59.91,85.05,16665.14,1
2025-03-24 22:43:03,25.49,61.97,85.04,16665.23,1
2025-03-24 22:44:03,25.62,60.84,85.04,16665.37,1
2025-03-24 22:45:03,25.67,61.66,85.04,16665.29,1
2025-03-24 22:46:03,25.63,60.70,85.04,16665.47,1
2025-03-24 22:47:03,25.61,61.59,85.04,16665.48,1
2025-03-24 22:48:03,25.69,61.89,85.04,16665.67,1
2025-03-24 22:49:03,25.78,61.20,85.04,16665.59,1
2025-03-24 22:50:03,25.76,61.57,85.04,16665.67,1
2025-03-24 22:51:03,25.74,61.68,85.04,16665.60,1
2025-03-24 22:52:03,25.74,61.88,85.04,16665.67,1
2025-03-24 22:53:04,25.76,61.68,85.03,16665.82,1
2025-03-24 22:54:04,25.81,61.39,85.04,16665.54,1
2025-03-24 22:55:04,25.82,61.19,85.04,16665.65,1
2025-03-24 22:56:04,25.77,61.43,85.04,16665.32,1
2025-03-24 22:57:04,25.81,61.71,85.04,16665.34,1
2025-03-24 22:58:04,25.81,61.45,85.04,16665.29,1
2025-03-24 22:59:04,25.80,61.77,85.05,16665.11,1
2025-03-24 23:00:04,25.76,61.91,85.05,16664.85,1
2025-03-24 23:01:04,25.74,62.07,85.05,16664.94,1
2025-03-24 23:02:04,25.69,62.17,85.05,16664.81,1
2025-03-24 23:03:04,25.77,62.30,85.05,16664.59,1
2025-03-24 23:04:04,25.77,62.15,85.05,16664.71,1
2025-03-24 23:05:05,25.70,62.40,85.05,16664.70,1
2025-03-24 23:06:05,25.71,62.37,85.05,16664.65,1
2025-03-24 23:07:05,25.69,62.55,85.06,16664.38,1
2025-03-24 23:08:05,25.67,62.69,85.06,16664.39,1
2025-03-24 23:09:05,25.70,62.67,85.07,16663.94,1
2025-03-24 23:10:05,25.71,62.75,85.07,16663.84,1
2025-03-24 23:11:05,25.73,62.62,85.07,16663.94,1
2025-03-24 23:12:05,25.71,62.77,85.06,16664.01,1
2025-03-24 23:13:05,25.69,62.94,85.07,16663.82,1
2025-03-24 23:14:05,25.73,62.82,85.07,16663.96,1
2025-03-24 23:15:05,25.70,62.74,85.07,16663.83,1
2025-03-24 23:16:06,25.74,62.81,85.07,16663.81,1
2025-03-24 23:17:06,25.70,62.69,85.07,16663.88,1
2025-03-24 23:18:06,25.70,62.83,85.07,16663.81,1
2025-03-24 23:19:06,25.67,62.88,85.07,16663.55,1
2025-03-24 23:20:06,25.74,62.76,85.07,16663.72,1
2025-03-24 23:21:06,25.70,62.67,85.07,16663.87,1
2025-03-24 23:22:06,25.67,62.97,85.07,16663.75,1
2025-03-24 23:23:06,25.69,62.87,85.07,16663.93,1
2025-03-24 23:24:06,25.63,62.92,85.07,16663.94,1
2025-03-24 23:25:06,25.57,63.21,85.07,16663.86,1
2025-03-24 23:26:06,25.55,63.23,85.06,16664.01,1
2025-03-24 23:27:07,25.55,63.24,85.06,16664.20,1
2025-03-24 23:28:07,25.59,63.17,85.06,16664.48,1
2025-03-24 23:29:07,25.51,63.34,85.06,16664.37,1
2025-03-24 23:30:07,25.54,63.37,85.06,16664.24,1
2025-03-24 23:31:07,25.49,63.54,85.06,16664.53,1
2025-03-24 23:32:07,25.59,63.36,85.06,16664.52,1
2025-03-24 23:33:07,25.57,63.36,85.05,16664.61,1
2025-03-24 23:34:07,25.55,63.32,85.06,16664.40,1
2025-03-24 23:35:07,25.54,63.42,85.06,16664.38,1
